Generation,Match_ID,Deck1_Name,Deck2_Name,Winner,Deck1_Wins,Deck2_Wins,Duration_Seconds,Worker_ID,Forge_Output_File,Error_Message,Timestamp
0,Gen0_Match2_1752894367,Gen0_Deck0,Gen0_Deck2,Gen0_Deck0,1,0,27.622506618499756,3458969,Gen0_Match2_1752894367.txt,,2025-07-19T03:06:34.665093
0,Gen0_Match3_1752894367,Gen0_Deck3,Gen0_Deck0,Gen0_Deck0,0,1,30.717076063156128,3458970,Gen0_Match3_1752894367.txt,,2025-07-19T03:06:37.817595
0,Gen0_Match1_1752894367,Gen0_Deck0,Gen0_Deck1,Gen0_Deck0,1,0,50.51470947265625,3458968,Gen0_Match1_1752894367.txt,,2025-07-19T03:06:57.554008
0,Gen0_Match4_1752894367,Gen0_Deck0,Gen0_Deck4,Gen0_Deck0,1,0,23.46185541152954,3458969,Gen0_Match4_1752894367.txt,,2025-07-19T03:06:58.127652
0,Gen0_Match5_1752894367,Gen0_Deck5,Gen0_Deck0,Gen0_Deck5,1,0,36.68631315231323,3458970,Gen0_Match5_1752894367.txt,,2025-07-19T03:07:14.504706
0,Gen0_Match7_1752894367,Gen0_Deck7,Gen0_Deck0,Gen0_Deck0,0,1,28.046334505081177,3458969,Gen0_Match7_1752894367.txt,,2025-07-19T03:07:26.174419
0,Gen0_Match6_1752894367,Gen0_Deck6,Gen0_Deck0,Gen0_Deck6,1,0,39.577731132507324,3458968,Gen0_Match6_1752894367.txt,,2025-07-19T03:07:37.132448
0,Gen0_Match9_1752894367,Gen0_Deck9,Gen0_Deck0,Gen0_Deck0,0,1,36.67603349685669,3458969,Gen0_Match9_1752894367.txt,,2025-07-19T03:08:02.850916
0,Gen0_Match10_1752894367,Gen0_Deck10,Gen0_Deck0,Gen0_Deck0,0,1,30.77165412902832,3458968,Gen0_Match10_1752894367.txt,,2025-07-19T03:08:07.904684
0,Gen0_Match8_1752894367,Gen0_Deck0,Gen0_Deck8,Gen0_Deck0,1,0,58.32337141036987,3458970,Gen0_Match8_1752894367.txt,,2025-07-19T03:08:12.828613
0,Gen0_Match12_1752894367,Gen0_Deck0,Gen0_Deck12,Gen0_Deck12,0,1,28.767125844955444,3458968,Gen0_Match12_1752894367.txt,,2025-07-19T03:08:36.672304
0,Gen0_Match13_1752894367,Gen0_Deck13,Gen0_Deck0,Gen0_Deck13,1,0,39.21662664413452,3458970,Gen0_Match13_1752894367.txt,,2025-07-19T03:08:52.045821
0,Gen0_Match14_1752894367,Gen0_Deck0,Gen0_Deck14,Gen0_Deck0,1,0,21.923587322235107,3458968,Gen0_Match14_1752894367.txt,,2025-07-19T03:08:58.596353
