Generation,Match_ID,Deck1_Name,Deck2_Name,Winner,Deck1_Wins,Deck2_Wins,Duration_Seconds,Worker_ID,Forge_Output_File,Error_Message,Timestamp
0,Gen0_Match1_1752963223,Gen0_Deck0,Gen0_Deck1,Gen0_Deck0,1,0,28.874441862106323,3710965,Gen0_Match1_1752963223.txt,,2025-07-19T22:14:12.804814
0,Gen0_Match3_1752963223,Gen0_Deck3,Gen0_Deck0,Gen0_Deck0,0,1,31.498149871826172,3710967,Gen0_Match3_1752963223.txt,,2025-07-19T22:14:15.487509
0,Gen0_Match2_1752963223,Gen0_Deck0,Gen0_Deck2,Gen0_Deck2,0,1,35.84481906890869,3710966,Gen0_Match2_1752963223.txt,,2025-07-19T22:14:19.779109
0,Gen0_Match4_1752963223,Gen0_Deck0,Gen0_Deck4,Gen0_Deck0,1,0,33.44196128845215,3710965,Gen0_Match4_1752963223.txt,,2025-07-19T22:14:46.247577
0,Gen0_Match6_1752963223,Gen0_Deck6,Gen0_Deck0,Gen0_Deck0,0,1,27.968742609024048,3710966,Gen0_Match6_1752963223.txt,,2025-07-19T22:14:47.748522
0,Gen0_Match5_1752963223,Gen0_Deck5,Gen0_Deck0,Gen0_Deck5,1,0,64.40841579437256,3710967,Gen0_Match5_1752963223.txt,,2025-07-19T22:15:19.896791
0,Gen0_Match8_1752963223,Gen0_Deck0,Gen0_Deck8,Gen0_Deck0,1,0,45.383575201034546,3710966,Gen0_Match8_1752963223.txt,,2025-07-19T22:15:33.132730
0,Gen0_Match7_1752963223,Gen0_Deck7,Gen0_Deck0,Gen0_Deck0,0,1,47.438724994659424,3710965,Gen0_Match7_1752963223.txt,,2025-07-19T22:15:33.686905
0,Gen0_Match9_1752963223,Gen0_Deck9,Gen0_Deck0,Gen0_Deck9,1,0,40.318631649017334,3710967,Gen0_Match9_1752963223.txt,,2025-07-19T22:16:00.216038
0,Gen0_Match11_1752963223,Gen0_Deck0,Gen0_Deck11,Gen0_Deck0,1,0,29.07305645942688,3710965,Gen0_Match11_1752963223.txt,,2025-07-19T22:16:02.760412
0,Gen0_Match10_1752963223,Gen0_Deck10,Gen0_Deck0,Gen0_Deck0,0,1,31.037037134170532,3710966,Gen0_Match10_1752963223.txt,,2025-07-19T22:16:04.170221
0,Gen0_Match12_1752963223,Gen0_Deck0,Gen0_Deck12,Gen0_Deck12,0,1,38.88402223587036,3710967,Gen0_Match12_1752963223.txt,,2025-07-19T22:16:39.100609
0,Gen0_Match14_1752963223,Gen0_Deck0,Gen0_Deck14,Gen0_Deck0,1,0,36.97698450088501,3710966,Gen0_Match14_1752963223.txt,,2025-07-19T22:16:41.147723
0,Gen0_Match13_1752963223,Gen0_Deck13,Gen0_Deck0,Gen0_Deck0,0,1,50.330585956573486,3710965,Gen0_Match13_1752963223.txt,,2025-07-19T22:16:53.091580
0,Gen0_Match15_1752963223,Gen0_Deck0,Gen0_Deck15,Gen0_Deck15,0,1,47.489431619644165,3710967,Gen0_Match15_1752963223.txt,,2025-07-19T22:17:26.590773
0,Gen0_Match17_1752963223,Gen0_Deck17,Gen0_Deck0,Gen0_Deck0,0,1,45.69341158866882,3710965,Gen0_Match17_1752963223.txt,,2025-07-19T22:17:38.785444
0,Gen0_Match18_1752963223,Gen0_Deck0,Gen0_Deck18,Gen0_Deck0,1,0,21.40098547935486,3710967,Gen0_Match18_1752963223.txt,,2025-07-19T22:17:47.992263
0,Gen0_Match19_1752963223,Gen0_Deck0,Gen0_Deck19,Gen0_Deck0,1,0,20.970237255096436,3710965,Gen0_Match19_1752963223.txt,,2025-07-19T22:17:59.756201
0,Gen0_Match16_1752963223,Gen0_Deck0,Gen0_Deck16,Gen0_Deck16,0,1,86.09204530715942,3710966,Gen0_Match16_1752963223.txt,,2025-07-19T22:18:07.240399
