Generation,Match_ID,Deck1_Name,Deck2_Name,Winner,Deck1_Wins,Deck2_Wins,Duration_Seconds,Worker_ID,Forge_Output_File,Error_Message,Timestamp
0,Gen0_Match3_1752193758,Gen0_Deck3,Gen0_Deck0,Gen0_Deck3,1,0,24.07457995414734,1446655,Gen0_Match3_1752193758.txt,,2025-07-11T00:29:42.107534
0,Gen0_Match1_1752193758,Gen0_Deck0,Gen0_Deck1,Gen0_Deck0,1,0,39.33136439323425,1446654,Gen0_Match1_1752193758.txt,,2025-07-11T00:29:57.361439
0,Gen0_Match4_1752193758,Gen0_Deck0,Gen0_Deck4,Gen0_Deck0,1,0,25.478765726089478,1446655,Gen0_Match4_1752193758.txt,,2025-07-11T00:30:07.587139
0,Gen0_Match5_1752193758,Gen0_Deck5,Gen0_Deck0,Gen0_Deck0,0,1,23.188563346862793,1446654,Gen0_Match5_1752193758.txt,,2025-07-11T00:30:20.550799
0,Gen0_Match2_1752193758,Gen0_Deck0,Gen0_Deck2,Gen0_Deck2,0,1,64.13374829292297,1446656,Gen0_Match2_1752193758.txt,,2025-07-11T00:30:22.166768
0,Gen0_Match6_1752193758,Gen0_Deck6,Gen0_Deck0,Gen0_Deck0,0,1,22.968140363693237,1446655,Gen0_Match6_1752193758.txt,,2025-07-11T00:30:30.555843
0,Gen0_Match7_1752193758,Gen0_Deck7,Gen0_Deck0,Gen0_Deck0,0,1,27.73245859146118,1446654,Gen0_Match7_1752193758.txt,,2025-07-11T00:30:48.283794
0,Gen0_Match9_1752193758,Gen0_Deck9,Gen0_Deck0,Gen0_Deck0,0,1,27.05229902267456,1446655,Gen0_Match9_1752193758.txt,,2025-07-11T00:30:57.608613
0,Gen0_Match8_1752193758,Gen0_Deck0,Gen0_Deck8,Gen0_Deck0,1,0,35.947932720184326,1446656,Gen0_Match8_1752193758.txt,,2025-07-11T00:30:58.115375
0,Gen0_Match10_1752193758,Gen0_Deck10,Gen0_Deck0,Gen0_Deck10,1,0,27.662254095077515,1446654,Gen0_Match10_1752193758.txt,,2025-07-11T00:31:15.946559
0,Gen0_Match12_1752193758,Gen0_Deck0,Gen0_Deck12,Gen0_Deck0,1,0,28.280630350112915,1446656,Gen0_Match12_1752193758.txt,,2025-07-11T00:31:26.396470
0,Gen0_Match11_1752193758,Gen0_Deck0,Gen0_Deck11,Gen0_Deck0,1,0,29.37552499771118,1446655,Gen0_Match11_1752193758.txt,,2025-07-11T00:31:26.984666
0,Gen0_Match13_1752193758,Gen0_Deck13,Gen0_Deck0,Gen0_Deck0,0,1,35.02355122566223,1446654,Gen0_Match13_1752193758.txt,,2025-07-11T00:31:50.970631
0,Gen0_Match14_1752193758,Gen0_Deck0,Gen0_Deck14,Gen0_Deck0,1,0,36.33161544799805,1446656,Gen0_Match14_1752193758.txt,,2025-07-11T00:32:02.728583
0,Gen0_Match16_1752193758,Gen0_Deck1,Gen0_Deck3,Gen0_Deck3,0,1,30.038848638534546,1446654,Gen0_Match16_1752193758.txt,,2025-07-11T00:32:21.010120
0,Gen0_Match17_1752193758,Gen0_Deck1,Gen0_Deck4,Gen0_Deck4,0,1,20.95433259010315,1446656,Gen0_Match17_1752193758.txt,,2025-07-11T00:32:23.683368
0,Gen0_Match18_1752193758,Gen0_Deck5,Gen0_Deck1,Gen0_Deck5,1,0,18.902005910873413,1446654,Gen0_Match18_1752193758.txt,,2025-07-11T00:32:39.912593
0,Gen0_Match19_1752193758,Gen0_Deck6,Gen0_Deck1,Gen0_Deck6,1,0,21.908615350723267,1446656,Gen0_Match19_1752193758.txt,,2025-07-11T00:32:45.592452
0,Gen0_Match15_1752193758,Gen0_Deck2,Gen0_Deck1,Gen0_Deck1,0,1,94.4632158279419,1446655,Gen0_Match15_1752193758.txt,,2025-07-11T00:33:01.448628
0,Gen0_Match20_1752193758,Gen0_Deck1,Gen0_Deck7,Gen0_Deck7,0,1,26.81937003135681,1446654,Gen0_Match20_1752193758.txt,,2025-07-11T00:33:06.732581
0,Gen0_Match21_1752193758,Gen0_Deck8,Gen0_Deck1,Gen0_Deck8,1,0,29.519482135772705,1446656,Gen0_Match21_1752193758.txt,,2025-07-11T00:33:15.112489
0,Gen0_Match22_1752193758,Gen0_Deck9,Gen0_Deck1,Gen0_Deck1,0,1,25.43385148048401,1446655,Gen0_Match22_1752193758.txt,,2025-07-11T00:33:26.883039
